pos_dic,Up,Down,total,Polarity Score,Polarity
살펴야/VV,42,16,58,1.7115792078058631,Hawkish
위기설/NNG,164,48,212,2.2277697625409645,Hawkish
지표/NNG;실망/NNG,16,1,17,10.432482790435737,Hawkish
물가/NNG;상승률/NNG;내리/VV,19,8,27,1.548571664205305,Hawkish
여력/NNG;둔화/NNG,17,2,19,5.542256482418985,Hawkish
출자전환/NNG,163,30,193,3.542697280918801,Hawkish
관계자/NNG,3789,1806,5595,1.367963638322294,Hawkish
ftse100/NNG,99,33,132,1.9560905232067003,Hawkish
분양시장/NNG,182,81,263,1.465055453595142,Hawkish
성장/NNG;견인/NNG,63,17,80,2.4163471169023945,Hawkish
선례/NNG,20,5,25,2.608120697608934,Hawkish
인컴/NNG,84,18,102,3.0428074805437566,Hawkish
기업/NNG;고금리/NNG,24,5,29,3.1297448371307204,Hawkish
전망/NNG;늘/VV,26,8,34,2.119098066807259,Hawkish
떠올리/VV,16,4,20,2.608120697608934,Hawkish
뇌관/NNG,44,17,61,1.6876075102175454,Hawkish
갈등/NNG,748,363,1111,1.3435773290712691,Hawkish
믹스/NNG,77,33,110,1.521403740271878,Hawkish
고층/NNG,17,7,24,1.58350185211971,Hawkish
들어서야/VV,13,5,18,1.6952784534458072,Hawkish
상품군/NNG,67,15,82,2.9124014456633094,Hawkish
기울인/VV,16,3,19,3.477494263478579,Hawkish
끼얹/VV,65,10,75,4.238196133614518,Hawkish
끈적끈적/MAG,20,5,25,2.608120697608934,Hawkish
장마감후/NNG,187,89,276,1.369995984418176,Hawkish
비용/NNG;하락/NNG,14,6,20,1.521403740271878,Hawkish
공사현장/NNG,28,8,36,2.282105610407817,Hawkish
지킬/VV,38,8,46,3.0971433284106094,Hawkish
생긴다/VV,51,14,65,2.3752527781795645,Hawkish
국토/NNG,189,43,232,2.8659000688842355,Hawkish
릴레이/NNG,25,11,36,1.481886760005076,Hawkish
수락/NNG,38,6,44,4.1295244378808125,Hawkish
배상/NNG,835,75,910,7.259269275011534,Hawkish
채택/NNG,108,54,162,1.3040603488044669,Hawkish
예금보험/NNG,25,9,34,1.811194928895093,Hawkish
색상/NNG,18,3,21,3.912181046413401,Hawkish
전시장/NNG,19,3,22,4.1295244378808125,Hawkish
경기/NNG;회복/NNG;더디/VA,14,5,19,1.8256844883262535,Hawkish
대출/NNG;금리/NNG;인하/NNG,32,16,48,1.304060348804467,Hawkish
농사/NNG,36,1,37,23.473086278480405,Hawkish
공채/NNG,29,5,34,3.7817750115329543,Hawkish
청소/NNG,18,2,20,5.868271569620101,Hawkish
수탁/NNG,86,25,111,2.242983799943683,Hawkish
분양계획/NNG,37,2,39,12.06255822644132,Hawkish
니치/NNG,21,1,22,13.692633662446903,Hawkish
합성/NNG,243,121,364,1.3094490279317583,Hawkish
문재/NNG,27,12,39,1.467067892405025,Hawkish
미분양/NNG;위험/NNG,14,7,21,1.3040603488044669,Hawkish
불어날/VV,19,5,24,2.4777146627284874,Hawkish
중소벤처기업부/NNG,176,49,225,2.3419859325467978,Hawkish
유상증자/NNG,271,80,351,2.208752215787566,Hawkish
블랙아웃/NNG,30,5,35,3.912181046413401,Hawkish
전합니다/VV,19,7,26,1.7697961876632051,Hawkish
다졌/VV,21,7,28,1.9560905232067007,Hawkish
중심지/NNG,43,10,53,2.8037297499296043,Hawkish
응답비중/NNG,17,6,23,1.847418827472995,Hawkish
방침/NNG,857,389,1246,1.4364777878218873,Hawkish
부적절/NNG,44,20,64,1.4344663836849136,Hawkish
옵션시장/NNG,19,1,20,12.388573313642436,Hawkish
수은/NNG,42,18,60,1.5214037402718783,Hawkish
배당금/NNG,314,128,442,1.5995115215804792,Hawkish
프로/NNG,103,38,141,1.7673449464060542,Hawkish
금리/NNG;인하/NNG;전망/NNG;후퇴/NNG,54,11,65,3.200875401610964,Hawkish
금리/NNG;한계/NNG,28,5,33,3.651368976652508,Hawkish
구호/NNG,22,8,30,1.7930829796061425,Hawkish
폐기/NNG,147,49,196,1.9560905232067007,Hawkish
효력/NNG,46,23,69,1.304060348804467,Hawkish
소비/NNG;심리/NNG;저하/NNG,15,2,17,4.890226308016751,Hawkish
상승곡선/NNG,53,16,69,2.1598499527073987,Hawkish
교역조건/NNG,49,18,67,1.7749710303171913,Hawkish
점용료/NNG,73,1,74,47.59820273136305,Hawkish
매출총이익률/NNG,27,6,33,2.9341357848100507,Hawkish
청라/NNG,42,3,45,9.12842244163127,Hawkish
선성/NNG,114,8,122,9.291429985231828,Hawkish
엔저현상/NNG,67,29,96,1.5064145408603329,Hawkish
소상공인/NNG,1807,892,2699,1.3208727860368117,Hawkish
수요/NNG;상승/NNG,25,7,32,2.328679194293691,Hawkish
돌발/NNG,25,11,36,1.481886760005076,Hawkish
악조건/NNG,12,6,18,1.3040603488044669,Hawkish
프랜차이즈/NNG,104,22,126,3.0823244608105584,Hawkish
계획/NNG,4101,1657,5758,1.6137451691150029,Hawkish
심해/NNG,14,6,20,1.521403740271878,Hawkish
초입/NNG,27,6,33,2.9341357848100507,Hawkish
출퇴근/NNG,51,11,62,3.023048990410355,Hawkish
수출/NNG;늘/VV,70,24,94,1.901754675339848,Hawkish
매끄럽/VA,17,5,22,2.216902592967594,Hawkish
비상장/NNG,33,7,40,3.073856536467672,Hawkish
제동/NNG,144,63,207,1.4903546843479625,Hawkish
희소가치/NNG,28,4,32,4.5642112208156345,Hawkish
미군/NNG,15,4,19,2.4451131540083755,Hawkish
빙수/NNG,24,2,26,7.824362092826802,Hawkish
서브프라임/NNG,14,6,20,1.521403740271878,Hawkish
현장방문/NNG,55,6,61,5.976943265353808,Hawkish
채권액/NNG,14,3,17,3.042807480543756,Hawkish
채국/NNG,13,5,18,1.6952784534458072,Hawkish
안겼/VV,16,7,23,1.4903546843479625,Hawkish
불확실성/NNG;높/VV,16,7,23,1.4903546843479625,Hawkish
민생/NNG,999,278,1277,2.3430868497404003,Hawkish
광역/NNG,62,26,88,1.5548411851130184,Hawkish
산위/NNG,14,3,17,3.042807480543756,Hawkish
옥정/NNG,31,10,41,2.021293540646924,Hawkish
대출/NNG;줄/VV;감소/NNG,24,1,25,15.648724185653604,Hawkish
리보금리/NNG,27,9,36,1.9560905232067003,Hawkish
한지/NNG,16,7,23,1.4903546843479625,Hawkish
기분/NNG,40,13,53,2.006246690468411,Hawkish
각도/NNG,14,3,17,3.042807480543756,Hawkish
지로/NNG,27,8,35,2.200601838607538,Hawkish
